unicode,latex
003F5,"\epsilon"
00020,"\space"
00021,"!"
00022,""""
00023,"\#"
00024,"\textdollar"
00025,"\%"
00026,"\&"
00027,"\textquotesingle"
00028,"("
00029,")"
0002A,"\ast"
0002B,"+"
0002C,","
0002D,"-"
0002E,"."
0002F,"/"
00030,"0"
00031,"1"
00032,"2"
00033,"3"
00034,"4"
00035,"5"
00036,"6"
00037,"7"
00038,"8"
00039,"9"
0003A,":"
0003B,";"
0003C,"<"
0003D,"="
0003E,">"
0003F,"?"
00040,"@"
00041,"A"
00042,"B"
00043,"C"
00044,"D"
00045,"E"
00046,"F"
00047,"G"
00048,"H"
00049,"I"
0004A,"J"
0004B,"K"
0004C,"L"
0004D,"M"
0004E,"N"
0004F,"O"
00050,"P"
00051,"Q"
00052,"R"
00053,"S"
00054,"T"
00055,"U"
00056,"V"
00057,"W"
00058,"X"
00059,"Y"
0005A,"Z"
0005B,"["
0005C,"\textbackslash"
0005D,"]"
0005E,"\^{}"
0005F,"\_"
00060,"\textasciigrave"
00061,"a"
00062,"b"
00063,"c"
00064,"d"
00065,"e"
00066,"f"
00067,"g"
00068,"h"
00069,"i"
0006A,"j"
0006B,"k"
0006C,"l"
0006D,"m"
0006E,"n"
0006F,"o"
00070,"p"
00071,"q"
00072,"r"
00073,"s"
00074,"t"
00075,"u"
00076,"v"
00077,"w"
00078,"x"
00079,"y"
0007A,"z"
0007B,"\lbrace"
0007C,"\vert"
0007D,"\rbrace"
0007E,"\textasciitilde"
000A0,"~"
000A1,"\textexclamdown"
000A2,"\textcent"
000A3,"\textsterling"
000A4,"\textcurrency"
000A5,"\textyen"
000A6,"\textbrokenbar"
000A7,"\textsection"
000A8,"\textasciidieresis"
000A9,"\textcopyright"
000AA,"\textordfeminine"
000AB,"\guillemotleft"
000AC,"\lnot"
000AD,"\-"
000AE,"\textregistered"
000AF,"\textasciimacron"
000B0,"\textdegree"
000B1,"\pm"
000B2,"{^2}"
000B3,"{^3}"
000B4,"\textasciiacute"
000B5,"\mathrm{\mu}"
000B6,"\textparagraph"
000B7,"\cdot"
000B8,"\c{}"
000B9,"{^1}"
000BA,"\textordmasculine"
000BB,"\guillemotright"
000BC,"\textonequarter"
000BD,"\tfrac{1}{2}"
000BE,"\textthreequarters"
000BF,"\textquestiondown"
000C0,"\`{A}"
000C1,"\'{A}"
000C2,\hat{A}
000C3,"\~{A}"
000C4,"\""{A}"
000C5,"\AA"
000C6,"\AE"
000C7,"\c{C}"
000C8,"\`{E}"
000C9,"\'{E}"
000CA,\hat{E}
000CB,"\""{E}"
000CC,"\`{I}"
000CD,"\'{I}"
000CE,\hat{I}
000CF,"\""{I}"
000D0,"\DH"
000D1,"\~{N}"
000D2,"\`{O}"
000D3,"\'{O}"
000D4,\hat{O}
000D5,"\~{O}"
000D6,"\""{O}"
000D7,"\times"
000D8,"\O"
000D9,"\`{U}"
000DA,"\'{U}"
000DB,\hat{U}
000DC,"\""{U}"
000DD,"\'{Y}"
000DE,"\TH"
000DF,"\ss"
000E0,"\`{a}"
000E1,"\'{a}"
000E2,\hat{a}
000E3,"\~{a}"
000E4,"\""{a}"
000E5,"\aa"
000E6,"\ae"
000E7,"\c{c}"
000E8,"\`{e}"
000E9,"{{e}}"
000EA,\hat{e}
000EB,"\""{e}"
000EC,"\`{\i}"
000ED,"\'{\i}"
000EE,"\^{\i}"
000EF,"\""{\i}"
000F0,"\dh"
000F1,"\~{n}"
000F2,"\`{o}"
000F3,"\'{o}"
000F4,\hat{o}
000F5,"\~{o}"
000F6,"\""{o}"
000F7,"\div"
000F8,"\o"
000F9,"\`{u}"
000FA,"\'{u}"
000FB,\hat{u}
000FC,"\""{u}"
000FD,"\'{y}"
000FE,"\th"
000FF,"\""{y}"
00100,"\={A}"
00101,"\={a}"
00102,"\u{A}"
00103,"\u{a}"
00104,"\k{A}"
00105,"\k{a}"
00106,"\'{C}"
00107,"\'{c}"
00108,\hat{C}
00109,\hat{c}
0010A,"\.{C}"
0010B,"\.{c}"
0010C,"\v{C}"
0010D,"\v{c}"
0010E,"\v{D}"
0010F,"\v{d}"
00110,"\DJ"
00111,"\dj"
00112,"\={E}"
00113,"\={e}"
00114,"\u{E}"
00115,"\u{e}"
00116,"\.{E}"
00117,"\.{e}"
00118,"\k{E}"
00119,"\k{e}"
0011A,"\v{E}"
0011B,"\v{e}"
0011C,\hat{G}
0011D,\hat{g}
0011E,"\u{G}"
0011F,"\u{g}"
00120,"\.{G}"
00121,"\.{g}"
00122,"\c{G}"
00123,"\c{g}"
00124,\hat{H}
00125,\hat{h}
00126,"{\fontencoding{LELA}\selectfont\char40}"
00127,"\hbar"
00128,"\~{I}"
00129,"\~{\i}"
0012A,"\={I}"
0012B,"\={\i}"
0012C,"\u{I}"
0012D,"\u{\i}"
0012E,"\k{I}"
0012F,"\k{i}"
00130,"\.{I}"
00131,"\i"
00132,"IJ"
00133,"ij"
00134,\hat{J}
00135,"\^{\j}"
00136,"\c{K}"
00137,"\c{k}"
00138,"{\fontencoding{LELA}\selectfont\char91}"
00139,"\'{L}"
0013A,"\'{l}"
0013B,"\c{L}"
0013C,"\c{l}"
0013D,"\v{L}"
0013E,"\v{l}"
0013F,"{\fontencoding{LELA}\selectfont\char201}"
00140,"{\fontencoding{LELA}\selectfont\char202}"
00141,"\L"
00142,"\l"
00143,"\'{N}"
00144,"\'{n}"
00145,"\c{N}"
00146,"\c{n}"
00147,"\v{N}"
00148,"\v{n}"
00149,"'n"
0014A,"\NG"
0014B,"\ng"
0014C,"\={O}"
0014D,"\={o}"
0014E,"\u{O}"
0014F,"\u{o}"
00150,"\H{O}"
00151,"\H{o}"
00152,"\OE"
00153,"\oe"
00154,"\'{R}"
00155,"\'{r}"
00156,"\c{R}"
00157,"\c{r}"
00158,"\v{R}"
00159,"\v{r}"
0015A,"\'{S}"
0015B,"\'{s}"
0015C,\hat{S}
0015D,\hat{s}
0015E,"\c{S}"
0015F,"\c{s}"
00160,"\v{S}"
00161,"\v{s}"
00162,"\c{T}"
00163,"\c{t}"
00164,"\v{T}"
00165,"\v{t}"
00166,"{\fontencoding{LELA}\selectfont\char47}"
00167,"{\fontencoding{LELA}\selectfont\char63}"
00168,"\~{U}"
00169,"\~{u}"
0016A,"\={U}"
0016B,"\={u}"
0016C,"\u{U}"
0016D,"\u{u}"
0016E,"\r{U}"
0016F,"\r{u}"
00170,"\H{U}"
00171,"\H{u}"
00172,"\k{U}"
00173,"\k{u}"
00174,\hat{W}
00175,\hat{w}
00176,\hat{Y}
00177,\hat{y}
00178,"\""{Y}"
00179,"\'{Z}"
0017A,"\'{z}"
0017B,"\.{Z}"
0017C,"\.{z}"
0017D,"\v{Z}"
0017E,"\v{z}"
00192,"f"
00195,"\texthvlig"
0019E,"\textnrleg"
001AA,"\eth"
001BA,"{\fontencoding{LELA}\selectfont\char195}"
001C2,"\textdoublepipe"
001F5,"\'{g}"
00250,"\Elztrna"
00252,"\Elztrnsa"
00254,"\Elzopeno"
00256,"\Elzrtld"
00258,"{\fontencoding{LEIP}\selectfont\char61}"
00259,"\Elzschwa"
0025B,"\varepsilon"
00261,"g"
00263,"\Elzpgamma"
00264,"\Elzpbgam"
00265,"\Elztrnh"
0026C,"\Elzbtdl"
0026D,"\Elzrtll"
0026F,"\Elztrnm"
00270,"\Elztrnmlr"
00271,"\Elzltlmr"
00272,"\Elzltln"
00273,"\Elzrtln"
00277,"\Elzclomeg"
00278,"\textphi"
00279,"\Elztrnr"
0027A,"\Elztrnrl"
0027B,"\Elzrttrnr"
0027C,"\Elzrl"
0027D,"\Elzrtlr"
0027E,"\Elzfhr"
0027F,"{\fontencoding{LEIP}\selectfont\char202}"
00282,"\Elzrtls"
00283,"\Elzesh"
00287,"\Elztrnt"
00288,"\Elzrtlt"
0028A,"\Elzpupsil"
0028B,"\Elzpscrv"
0028C,"\Elzinvv"
0028D,"\Elzinvw"
0028E,"\Elztrny"
00290,"\Elzrtlz"
00292,"\Elzyogh"
00294,"\Elzglst"
00295,"\Elzreglst"
00296,"\Elzinglst"
0029E,"\textturnk"
002A4,"\Elzdyogh"
002A7,"\Elztesh"
002BC,"'"
002C7,"\textasciicaron"
002C8,"\Elzverts"
002CC,"\Elzverti"
002D0,"\Elzlmrk"
002D1,"\Elzhlmrk"
002D2,"\Elzsbrhr"
002D3,"\Elzsblhr"
002D4,"\Elzrais"
002D5,"\Elzlow"
002D8,"\textasciibreve"
002D9,"\textperiodcentered"
002DA,"\r{}"
002DB,"\k{}"
002DC,"\texttildelow"
002DD,"\H{}"
002E5,"\tone{55}"
002E6,"\tone{44}"
002E7,"\tone{33}"
002E8,"\tone{22}"
002E9,"\tone{11}"
00300,"\`"
00301,"\'"
00302,"\^"
00303,"\~"
00304,"\="
00306,"\u"
00307,"\."
00308,"\"""
0030A,"\r"
0030B,"\H"
0030C,"\v"
0030F,"\cyrchar\C"
00311,"{\fontencoding{LECO}\selectfont\char177}"
00318,"{\fontencoding{LECO}\selectfont\char184}"
00319,"{\fontencoding{LECO}\selectfont\char185}"
00321,"\Elzpalh"
00322,"\Elzrh"
00327,"\c"
00328,"\k"
0032A,"\Elzsbbrg"
0032B,"{\fontencoding{LECO}\selectfont\char203}"
0032F,"{\fontencoding{LECO}\selectfont\char207}"
00335,"\Elzxl"
00336,"\Elzbar"
00337,"{\fontencoding{LECO}\selectfont\char215}"
00338,"{\fontencoding{LECO}\selectfont\char216}"
0033A,"{\fontencoding{LECO}\selectfont\char218}"
0033B,"{\fontencoding{LECO}\selectfont\char219}"
0033C,"{\fontencoding{LECO}\selectfont\char220}"
0033D,"{\fontencoding{LECO}\selectfont\char221}"
00361,"{\fontencoding{LECO}\selectfont\char225}"
00386,"\'{A}"
00388,"\'{E}"
00389,"\'{H}"
0038A,"\'{}{I}"
0038C,"\'{}O"
0038E,"\mathrm{'Y}"
0038F,"\mathrm{'\Omega}"
00390,"\acute{\ddot{\iota}}"
00391,"\Alpha"
00392,"\Beta"
00393,"\Gamma"
00394,"\Delta"
00395,"\Epsilon"
00396,"\Zeta"
00397,"\Eta"
00398,"\Theta"
00399,"\Iota"
0039A,"\Kappa"
0039B,"\Lambda"
0039C,"M"
0039D,"N"
0039E,"\Xi"
0039F,"O"
003A0,"\Pi"
003A1,"\Rho"
003A3,"\Sigma"
003A4,"\Tau"
003A5,"\Upsilon"
003A6,"\Phi"
003A7,"\Chi"
003A8,"\Psi"
003A9,"\Omega"
003AA,"\mathrm{\ddot{I}}"
003AB,"\mathrm{\ddot{Y}}"
003AC,"\'{$\alpha$}"
003AD,"\acute{\epsilon}"
003AE,"\acute{\eta}"
003AF,"\acute{\iota}"
003B0,"\acute{\ddot{\upsilon}}"
003B1,"\alpha"
003B2,"\beta"
003B3,"\gamma"
003B4,"\delta"
003B5,"\epsilon"
003B6,"\zeta"
003B7,"\eta"
003B8,"\theta"
003B9,"\iota"
003BA,"\kappa"
003BB,"\lambda"
003BC,"\mu"
003BD,"\nu"
003BE,"\xi"
003BF,"o"
003C0,"\pi"
003C1,"\rho"
003C2,"\varsigma"
003C3,"\sigma"
003C4,"\tau"
003C5,"\upsilon"
003C6,"\varphi"
003C7,"\chi"
003C8,"\psi"
003C9,"\omega"
003CA,"\ddot{\iota}"
003CB,"\ddot{\upsilon}"
003CC,"\'{o}"
003CD,"\acute{\upsilon}"
003CE,"\acute{\omega}"
003D0,"\Pisymbol{ppi022}{87}"
003D1,"\textvartheta"
003D2,"\Upsilon"
003D5,"\phi"
003D6,"\varpi"
003DA,"\Stigma"
003DC,"\Digamma"
003DD,"\digamma"
003DE,"\Koppa"
003E0,"\Sampi"
003F0,"\varkappa"
003F1,"\varrho"
003F4,"\textTheta"
003F6,"\backepsilon"
00401,"\cyrchar\CYRYO"
00402,"\cyrchar\CYRDJE"
00403,"\cyrchar{\'\CYRG}"
00404,"\cyrchar\CYRIE"
00405,"\cyrchar\CYRDZE"
00406,"\cyrchar\CYRII"
00407,"\cyrchar\CYRYI"
00408,"\cyrchar\CYRJE"
00409,"\cyrchar\CYRLJE"
0040A,"\cyrchar\CYRNJE"
0040B,"\cyrchar\CYRTSHE"
0040C,"\cyrchar{\'\CYRK}"
0040E,"\cyrchar\CYRUSHRT"
0040F,"\cyrchar\CYRDZHE"
00410,"\cyrchar\CYRA"
00411,"\cyrchar\CYRB"
00412,"\cyrchar\CYRV"
00413,"\cyrchar\CYRG"
00414,"\cyrchar\CYRD"
00415,"\cyrchar\CYRE"
00416,"\cyrchar\CYRZH"
00417,"\cyrchar\CYRZ"
00418,"\cyrchar\CYRI"
00419,"\cyrchar\CYRISHRT"
0041A,"\cyrchar\CYRK"
0041B,"\cyrchar\CYRL"
0041C,"\cyrchar\CYRM"
0041D,"\cyrchar\CYRN"
0041E,"\cyrchar\CYRO"
0041F,"\cyrchar\CYRP"
00420,"\cyrchar\CYRR"
00421,"\cyrchar\CYRS"
00422,"\cyrchar\CYRT"
00423,"\cyrchar\CYRU"
00424,"\cyrchar\CYRF"
00425,"\cyrchar\CYRH"
00426,"\cyrchar\CYRC"
00427,"\cyrchar\CYRCH"
00428,"\cyrchar\CYRSH"
00429,"\cyrchar\CYRSHCH"
0042A,"\cyrchar\CYRHRDSN"
0042B,"\cyrchar\CYRERY"
0042C,"\cyrchar\CYRSFTSN"
0042D,"\cyrchar\CYREREV"
0042E,"\cyrchar\CYRYU"
0042F,"\cyrchar\CYRYA"
00430,"\cyrchar\cyra"
00431,"\cyrchar\cyrb"
00432,"\cyrchar\cyrv"
00433,"\cyrchar\cyrg"
00434,"\cyrchar\cyrd"
00435,"\cyrchar\cyre"
00436,"\cyrchar\cyrzh"
00437,"\cyrchar\cyrz"
00438,"\cyrchar\cyri"
00439,"\cyrchar\cyrishrt"
0043A,"\cyrchar\cyrk"
0043B,"\cyrchar\cyrl"
0043C,"\cyrchar\cyrm"
0043D,"\cyrchar\cyrn"
0043E,"\cyrchar\cyro"
0043F,"\cyrchar\cyrp"
00440,"\cyrchar\cyrr"
00441,"\cyrchar\cyrs"
00442,"\cyrchar\cyrt"
00443,"\cyrchar\cyru"
00444,"\cyrchar\cyrf"
00445,"\cyrchar\cyrh"
00446,"\cyrchar\cyrc"
00447,"\cyrchar\cyrch"
00448,"\cyrchar\cyrsh"
00449,"\cyrchar\cyrshch"
0044A,"\cyrchar\cyrhrdsn"
0044B,"\cyrchar\cyrery"
0044C,"\cyrchar\cyrsftsn"
0044D,"\cyrchar\cyrerev"
0044E,"\cyrchar\cyryu"
0044F,"\cyrchar\cyrya"
00451,"\cyrchar\cyryo"
00452,"\cyrchar\cyrdje"
00453,"\cyrchar{\'\cyrg}"
00454,"\cyrchar\cyrie"
00455,"\cyrchar\cyrdze"
00456,"\cyrchar\cyrii"
00457,"\cyrchar\cyryi"
00458,"\cyrchar\cyrje"
00459,"\cyrchar\cyrlje"
0045A,"\cyrchar\cyrnje"
0045B,"\cyrchar\cyrtshe"
0045C,"\cyrchar{\'\cyrk}"
0045E,"\cyrchar\cyrushrt"
0045F,"\cyrchar\cyrdzhe"
00460,"\cyrchar\CYROMEGA"
00461,"\cyrchar\cyromega"
00462,"\cyrchar\CYRYAT"
00464,"\cyrchar\CYRIOTE"
00465,"\cyrchar\cyriote"
00466,"\cyrchar\CYRLYUS"
00467,"\cyrchar\cyrlyus"
00468,"\cyrchar\CYRIOTLYUS"
00469,"\cyrchar\cyriotlyus"
0046A,"\cyrchar\CYRBYUS"
0046C,"\cyrchar\CYRIOTBYUS"
0046D,"\cyrchar\cyriotbyus"
0046E,"\cyrchar\CYRKSI"
0046F,"\cyrchar\cyrksi"
00470,"\cyrchar\CYRPSI"
00471,"\cyrchar\cyrpsi"
00472,"\cyrchar\CYRFITA"
00474,"\cyrchar\CYRIZH"
00478,"\cyrchar\CYRUK"
00479,"\cyrchar\cyruk"
0047A,"\cyrchar\CYROMEGARND"
0047B,"\cyrchar\cyromegarnd"
0047C,"\cyrchar\CYROMEGATITLO"
0047D,"\cyrchar\cyromegatitlo"
0047E,"\cyrchar\CYROT"
0047F,"\cyrchar\cyrot"
00480,"\cyrchar\CYRKOPPA"
00481,"\cyrchar\cyrkoppa"
00482,"\cyrchar\cyrthousands"
00488,"\cyrchar\cyrhundredthousands"
00489,"\cyrchar\cyrmillions"
0048C,"\cyrchar\CYRSEMISFTSN"
0048D,"\cyrchar\cyrsemisftsn"
0048E,"\cyrchar\CYRRTICK"
0048F,"\cyrchar\cyrrtick"
00490,"\cyrchar\CYRGUP"
00491,"\cyrchar\cyrgup"
00492,"\cyrchar\CYRGHCRS"
00493,"\cyrchar\cyrghcrs"
00494,"\cyrchar\CYRGHK"
00495,"\cyrchar\cyrghk"
00496,"\cyrchar\CYRZHDSC"
00497,"\cyrchar\cyrzhdsc"
00498,"\cyrchar\CYRZDSC"
00499,"\cyrchar\cyrzdsc"
0049A,"\cyrchar\CYRKDSC"
0049B,"\cyrchar\cyrkdsc"
0049C,"\cyrchar\CYRKVCRS"
0049D,"\cyrchar\cyrkvcrs"
0049E,"\cyrchar\CYRKHCRS"
0049F,"\cyrchar\cyrkhcrs"
004A0,"\cyrchar\CYRKBEAK"
004A1,"\cyrchar\cyrkbeak"
004A2,"\cyrchar\CYRNDSC"
004A3,"\cyrchar\cyrndsc"
004A4,"\cyrchar\CYRNG"
004A5,"\cyrchar\cyrng"
004A6,"\cyrchar\CYRPHK"
004A7,"\cyrchar\cyrphk"
004A8,"\cyrchar\CYRABHHA"
004A9,"\cyrchar\cyrabhha"
004AA,"\cyrchar\CYRSDSC"
004AB,"\cyrchar\cyrsdsc"
004AC,"\cyrchar\CYRTDSC"
004AD,"\cyrchar\cyrtdsc"
004AE,"\cyrchar\CYRY"
004AF,"\cyrchar\cyry"
004B0,"\cyrchar\CYRYHCRS"
004B1,"\cyrchar\cyryhcrs"
004B2,"\cyrchar\CYRHDSC"
004B3,"\cyrchar\cyrhdsc"
004B4,"\cyrchar\CYRTETSE"
004B5,"\cyrchar\cyrtetse"
004B6,"\cyrchar\CYRCHRDSC"
004B7,"\cyrchar\cyrchrdsc"
004B8,"\cyrchar\CYRCHVCRS"
004B9,"\cyrchar\cyrchvcrs"
004BA,"\cyrchar\CYRSHHA"
004BB,"\cyrchar\cyrshha"
004BC,"\cyrchar\CYRABHCH"
004BD,"\cyrchar\cyrabhch"
004BE,"\cyrchar\CYRABHCHDSC"
004BF,"\cyrchar\cyrabhchdsc"
004C0,"\cyrchar\CYRpalochka"
004C3,"\cyrchar\CYRKHK"
004C4,"\cyrchar\cyrkhk"
004C7,"\cyrchar\CYRNHK"
004C8,"\cyrchar\cyrnhk"
004CB,"\cyrchar\CYRCHLDSC"
004CC,"\cyrchar\cyrchldsc"
004D4,"\cyrchar\CYRAE"
004D5,"\cyrchar\cyrae"
004D8,"\cyrchar\CYRSCHWA"
004D9,"\cyrchar\cyrschwa"
004E0,"\cyrchar\CYRABHDZE"
004E1,"\cyrchar\cyrabhdze"
004E8,"\cyrchar\CYROTLD"
004E9,"\cyrchar\cyrotld"
02002,"\hspace{0.6em}"
02003,"\hspace{1em}"
02004,"\hspace{0.33em}"
02005,"\hspace{0.25em}"
02006,"\hspace{0.166em}"
02007,"\hphantom{0}"
02008,"\hphantom{,}"
02009,"\hspace{0.167em}"
0200A,"\mkern1mu"
02010,"-"
02013,"\dashv"
02014,"\textemdash"
02015,"\rule{1em}{1pt}"
02016,"\Vert"
02018,"`"
02019,"'"
0201A,","
0201B,"\Elzreapos"
0201C,"\textquotedblleft"
0201D,"\textquotedblright"
0201E,",,"
02020,"\dagger"
02021,"\textdaggerdbl"
02022,"\textbullet"
02024,"."
02025,".."
02026,"\ldots"
02030,"\textperthousand"
02031,"\textpertenthousand"
02032,"{'}"
02033,"{''}"
02034,"{'''}"
02035,"\backprime"
02039,"\guilsinglleft"
0203A,"\guilsinglright"
02057,"''''"
0205F,"\mkern4mu"
02060,"\nolinebreak"
020A7,"\ensuremath{\Elzpes}"
