QID,POM-Struc-Total-Dist,POM-Struc-Cont-Dist,POM-Struc-Pres-Dist,POM-Histo-Abs-Dist,POM-Histo-Rel-Dist,POM-Histo-Cos-Dist,POM-Histo-EarthMov-Dist,POM-Content-Histo-Abs-Dist,POM-Content-Histo-Rel-Dist,POM-Content-Histo-Cos-Dist,POM-Content-Histo-EarthMov-Dist,SnuggleTeX-Struc-Total-Dist,SnuggleTeX-Struc-Cont-Dist,SnuggleTeX-Struc-Pres-Dist,SnuggleTeX-Histo-Abs-Dist,SnuggleTeX-Histo-Rel-Dist,SnuggleTeX-Histo-Cos-Dist,SnuggleTeX-Histo-EarthMov-Dist,SnuggleTeX-Content-Histo-Abs-Dist,SnuggleTeX-Content-Histo-Rel-Dist,SnuggleTeX-Content-Histo-Cos-Dist,SnuggleTeX-Content-Histo-EarthMov-Dist,LatexML-Struc-Total-Dist,LatexML-Struc-Cont-Dist,LatexML-Struc-Pres-Dist,LatexML-Histo-Abs-Dist,LatexML-Histo-Rel-Dist,LatexML-Histo-Cos-Dist,LatexML-Histo-EarthMov-Dist,LatexML-Content-Histo-Abs-Dist,LatexML-Content-Histo-Rel-Dist,LatexML-Content-Histo-Cos-Dist,LatexML-Content-Histo-EarthMov-Dist,Mathematical-Struc-Total-Dist,Mathematical-Struc-Cont-Dist,Mathematical-Struc-Pres-Dist,Mathematical-Histo-Abs-Dist,Mathematical-Histo-Rel-Dist,Mathematical-Histo-Cos-Dist,Mathematical-Histo-EarthMov-Dist,Mathematical-Content-Histo-Abs-Dist,Mathematical-Content-Histo-Rel-Dist,Mathematical-Content-Histo-Cos-Dist,Mathematical-Content-Histo-EarthMov-Dist,MathToWeb-Struc-Total-Dist,MathToWeb-Struc-Cont-Dist,MathToWeb-Struc-Pres-Dist,MathToWeb-Histo-Abs-Dist,MathToWeb-Histo-Rel-Dist,MathToWeb-Histo-Cos-Dist,MathToWeb-Histo-EarthMov-Dist,MathToWeb-Content-Histo-Abs-Dist,MathToWeb-Content-Histo-Rel-Dist,MathToWeb-Content-Histo-Cos-Dist,MathToWeb-Content-Histo-EarthMov-Dist,Latex2MML-Struc-Total-Dist,Latex2MML-Struc-Cont-Dist,Latex2MML-Struc-Pres-Dist,Latex2MML-Histo-Abs-Dist,Latex2MML-Histo-Rel-Dist,Latex2MML-Histo-Cos-Dist,Latex2MML-Histo-EarthMov-Dist,Latex2MML-Content-Histo-Abs-Dist,Latex2MML-Content-Histo-Rel-Dist,Latex2MML-Content-Histo-Cos-Dist,Latex2MML-Content-Histo-EarthMov-Dist,TeXZilla-Struc-Total-Dist,TeXZilla-Struc-Cont-Dist,TeXZilla-Struc-Pres-Dist,TeXZilla-Histo-Abs-Dist,TeXZilla-Histo-Rel-Dist,TeXZilla-Histo-Cos-Dist,TeXZilla-Histo-EarthMov-Dist,TeXZilla-Content-Histo-Abs-Dist,TeXZilla-Content-Histo-Rel-Dist,TeXZilla-Content-Histo-Cos-Dist,TeXZilla-Content-Histo-EarthMov-Dist,Mathoid-Struc-Total-Dist,Mathoid-Struc-Cont-Dist,Mathoid-Struc-Pres-Dist,Mathoid-Histo-Abs-Dist,Mathoid-Histo-Rel-Dist,Mathoid-Histo-Cos-Dist,Mathoid-Histo-EarthMov-Dist,Mathoid-Content-Histo-Abs-Dist,Mathoid-Content-Histo-Rel-Dist,Mathoid-Content-Histo-Cos-Dist,Mathoid-Content-Histo-EarthMov-Dist,Mathematica-Struc-Total-Dist,Mathematica-Struc-Cont-Dist,Mathematica-Struc-Pres-Dist,Mathematica-Histo-Abs-Dist,Mathematica-Histo-Rel-Dist,Mathematica-Histo-Cos-Dist,Mathematica-Histo-EarthMov-Dist,Mathematica-Content-Histo-Abs-Dist,Mathematica-Content-Histo-Rel-Dist,Mathematica-Content-Histo-Cos-Dist,Mathematica-Content-Histo-EarthMov-Dist
1,49.0,,24.0,,,,,,,,,39.0,,13.0,,,,,,,,,19.0,16.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,30.0,,5.0,,,,,,,,,31.0,,5.0,,,,,,,,,33.0,,7.0,,,,,,,,,30.0,,5.0,,,,,,,,,30.0,,5.0,,,,,,,,,23.0,15.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
2,18.0,,8.0,,,,,,,,,18.0,,8.0,,,,,,,,,9.0,7.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,0.0,,,,,,,,,11.0,,1.0,,,,,,,,,12.0,,2.0,,,,,,,,,9.0,,0.0,,,,,,,,,11.0,,2.0,,,,,,,,,,,,,,,,,,,
3,28.0,,13.0,,,,,,,,,24.0,,9.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,20.0,,6.0,,,,,,,,,20.0,,5.0,,,,,,,,,22.0,,7.0,,,,,,,,,19.0,,5.0,,,,,,,,,19.0,,6.0,,,,,,,,,13.0,6.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
4,46.0,,21.0,,,,,,,,,36.0,,11.0,,,,,,,,,16.0,13.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,29.0,,5.0,,,,,,,,,30.0,,5.0,,,,,,,,,30.0,,5.0,,,,,,,,,29.0,,5.0,,,,,,,,,25.0,,2.0,,,,,,,,,28.0,14.0,12.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
5,98.0,,58.0,,,,,,,,,84.0,,44.0,,,,,,,,,62.0,38.0,22.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,73.0,,34.0,,,,,,,,,73.0,,33.0,,,,,,,,,75.0,,35.0,,,,,,,,,73.0,,34.0,,,,,,,,,64.0,,25.0,,,,,,,,,74.0,40.0,32.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
6,18.0,,10.0,,,,,,,,,17.0,,9.0,,,,,,,,,8.0,5.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,9.0,,3.0,,,,,,,,,8.0,,1.0,,,,,,,,,7.0,4.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
7,18.0,,10.0,,,,,,,,,17.0,,9.0,,,,,,,,,8.0,5.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,9.0,,3.0,,,,,,,,,8.0,,1.0,,,,,,,,,7.0,4.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
8,18.0,,10.0,,,,,,,,,17.0,,9.0,,,,,,,,,8.0,5.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,9.0,,3.0,,,,,,,,,8.0,,1.0,,,,,,,,,7.0,4.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
9,366.0,,182.0,,,,,,,,,255.0,,55.0,,,,,,,,,53.0,51.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,230.0,,31.0,,,,,,,,,240.0,,40.0,,,,,,,,,,,,,,,,,,,,225.0,,26.0,,,,,,,,,263.0,,64.0,,,,,,,,,,,,,,,,,,,
10,27.0,,13.0,,,,,,,,,22.0,,8.0,,,,,,,,,15.0,8.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,19.0,,6.0,,,,,,,,,21.0,,7.0,,,,,,,,,21.0,,7.0,,,,,,,,,19.0,,6.0,,,,,,,,,20.0,,7.0,,,,,,,,,16.0,8.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
